record,stage,elo,loss,winrate
0,0,1002.9,3.2828,1.000
100,0,686.5,4.3912,0.406
200,0,590.7,1.5479,0.383
300,0,680.3,2.9366,0.402
400,0,613.5,4.3239,0.411
500,0,678.8,3.0821,0.411
600,0,661.7,-2.2418,0.408
700,0,699.0,-1.3865,0.411
800,0,633.5,1.3136,0.413
900,0,625.1,0.9583,0.414
1000,0,550.5,-1.5520,0.000
1100,0,580.7,0.5831,0.356
1200,0,529.3,-2.1440,0.378
1300,0,599.4,-1.6159,0.392
1400,0,599.7,0.2442,0.382
1500,0,558.6,3.5489,0.391
1600,0,538.4,1.2223,0.379
1700,0,541.4,3.3772,0.372
1800,0,516.1,4.1570,0.365
1900,0,562.7,-1.5986,0.358
2000,0,590.9,0.2511,0.000
2100,0,433.8,1.1228,0.238
2200,0,560.5,-1.8832,0.313
2300,0,441.2,-2.0976,0.296
2400,0,495.5,-1.4457,0.319
2500,0,704.3,3.3374,0.349
2600,0,570.1,-0.0422,0.349
2700,0,545.0,-1.5726,0.352
2800,0,487.2,-1.3595,0.347
2900,0,477.3,-1.4116,0.346
3000,1,584.2,-1.8710,0.000
3100,1,635.2,-1.7062,0.396
3200,1,651.4,3.1637,0.383
3300,1,635.5,-1.0503,0.382
3400,1,482.3,-2.0524,0.364
3500,1,476.5,-1.0333,0.351
3600,1,557.2,-1.5749,0.344
3700,1,467.3,-1.8195,0.341
3800,1,559.3,2.0009,0.346
3900,1,433.0,-1.6197,0.339
4000,2,544.6,-0.8870,0.000
4100,2,708.1,-0.4896,0.287
4200,2,827.0,-0.3254,0.294
4300,2,858.9,3.5759,0.302
4400,2,654.1,-1.4762,0.292
4500,2,988.6,3.2759,0.311
4600,2,1045.8,2.4081,0.331
4700,2,1003.4,-1.7157,0.341
4800,2,912.2,0.1735,0.346
4900,2,776.1,-1.7095,0.342
5000,3,1028.6,-0.9506,0.000
5100,3,909.0,-1.6038,0.317
5200,3,1019.6,4.2801,0.363
5300,3,869.5,-0.1817,0.352
5400,3,713.9,-1.3658,0.329
5500,3,883.0,3.2527,0.345
5600,3,920.5,-1.8610,0.348
5700,3,844.0,-1.1052,0.345
5800,3,936.1,-1.3322,0.351
5900,3,911.1,-1.0333,0.350
6000,4,966.8,3.5359,1.000
6100,4,1066.9,-0.0002,0.396
6200,4,975.7,-1.0552,0.353
6300,4,878.2,-0.6144,0.336
6400,4,1098.7,-1.1689,0.362
6500,4,1022.7,0.2370,0.369
6600,4,1013.7,-1.3134,0.373
6700,4,1009.3,1.7688,0.365
6800,4,1024.3,-1.8970,0.366
6900,4,1091.5,-0.4354,0.372
7000,5,1130.2,2.4553,1.000
7100,5,1131.4,-1.1135,0.337
7200,5,1204.7,-1.1323,0.338
7300,5,1206.4,2.8272,0.332
7400,5,1180.8,0.0242,0.339
7500,5,1173.8,-1.2091,0.351
7600,5,1260.8,-0.6384,0.368
7700,5,1132.7,-1.1740,0.361
7800,5,1379.0,4.0268,0.378
7900,5,1216.8,-0.5012,0.376
8000,6,1210.8,-0.6860,0.000
8100,6,1044.5,-0.9056,0.317
8200,6,1185.4,-0.2651,0.398
8300,6,1214.0,0.2859,0.402
8400,6,1094.8,-0.0405,0.414
8500,6,1287.3,1.6301,0.431
8600,6,1180.4,2.4409,0.433
8700,6,1141.1,1.5108,0.438
8800,6,1192.9,-0.0587,0.444
8900,6,1343.4,1.5774,0.454
9000,6,1281.0,1.3448,1.000
9100,6,1202.3,2.4819,0.465
9200,6,1308.5,2.2758,0.507
9300,6,1344.0,1.6862,0.525
9400,6,1354.7,-0.0174,0.524
9500,6,1245.3,1.2656,0.505
9600,6,1218.9,1.9556,0.499
9700,6,1261.0,-0.7435,0.499
9800,6,1217.1,0.4397,0.497
9900,6,1405.4,0.9259,0.511
9999,6,1477.2,1.2400,0.518
